Rank,Job ID,Position,Location,Match Level,Resume to Use,Notes,URL
1,272357,Data Scientists,Roseland NJ,TOP PICK,ML-Engineer,No Senior prefix - best match for ~2 yrs experience with ML/AI skills,https://jobs.adp.com/en/jobs/272357/
2,272363,Application Developers,Norfolk VA,TOP PICK,SDE,No Senior prefix - mid-level dev role matches experience level,https://jobs.adp.com/en/jobs/272363/
3,272338,Application Developer,Roseland NJ,TOP PICK,SDE,No Senior prefix - accessible level good fit for backend experience,https://jobs.adp.com/en/jobs/272338/
4,272368,Senior Data Scientist,Roseland NJ,STRETCH,ML-Engineer,Senior role - stretch but ML/AI skills are strong,https://jobs.adp.com/en/jobs/272368/
5,272327,Senior Data Scientists,Alpharetta GA,STRETCH,ML-Engineer,Senior role - stretch but strong technical match,https://jobs.adp.com/en/jobs/272327/
6,272560,Senior Software Engineers,Alpharetta GA,STRETCH,SDE,Senior SWE - stretch but backend experience relevant,https://jobs.adp.com/en/jobs/272560/
7,272457,Senior Software Engineers,Roseland NJ,STRETCH,SDE,Senior SWE - stretch but development skills match,https://jobs.adp.com/en/jobs/272457/
8,271725,Senior Application Developer,Alpharetta GA,STRETCH,SDE,Senior dev - stretch but Python/backend experience relevant,https://jobs.adp.com/en/jobs/271725/
9,272326,Principal Product Manager - GenAI,Roseland NJ,UNLIKELY,ML-Engineer,Principal PM requires 8+ yrs - too senior despite GenAI match,https://jobs.adp.com/en/jobs/272326/
10,271964,Sr. Principal Product Manager - Enterprise AI Tools,Roseland NJ,UNLIKELY,ML-Engineer,Sr Principal requires 10+ yrs - too senior,https://jobs.adp.com/en/jobs/271964/
11,272355,Principal Software Engineers,Roseland NJ,UNLIKELY,SDE,Principal level requires 8+ yrs - too senior,https://jobs.adp.com/en/jobs/272355/
12,272465,Lead Application Developers,Pasadena CA,UNLIKELY,SDE,Lead role requires 5+ yrs management experience,https://jobs.adp.com/en/jobs/272465/
13,272360,Lead Application Developers,Alpharetta GA,UNLIKELY,SDE,Lead role requires 5+ yrs management experience,https://jobs.adp.com/en/jobs/272360/
14,272362,Lead Application Developers,Roseland NJ,UNLIKELY,SDE,Lead role requires 5+ yrs management experience,https://jobs.adp.com/en/jobs/272362/
15,272359,Lead Application Developers,Parsippany NJ,UNLIKELY,SDE,Lead role requires 5+ yrs management experience,https://jobs.adp.com/en/jobs/272359/
16,271672,Lead Application Developer,Alpharetta GA,UNLIKELY,SDE,Lead role requires 5+ yrs management experience,https://jobs.adp.com/en/jobs/271672/
17,272364,Senior Lead Architect,Alpharetta GA,UNLIKELY,SDE,Very senior architecture role - needs 10+ yrs,https://jobs.adp.com/en/jobs/272364/
18,272324,Principal Architect,Roseland NJ,UNLIKELY,SDE,Principal architect - needs 10+ yrs,https://jobs.adp.com/en/jobs/272324/
19,271141,Salesforce Service Cloud - Solution Architect,Roseland NJ,NOT A FIT,SDE,Salesforce specific - not core skillset,https://jobs.adp.com/en/jobs/271141/
20,272569,Senior Manager Platform Engineering,New York NY,NOT A FIT,DevOps,Management role - needs people management experience,https://jobs.adp.com/en/jobs/272569/
21,272456,Senior Quality Assurance Engineers,Florham Park NJ,NOT A FIT,SDE,QA focus - not primary skillset,https://jobs.adp.com/en/jobs/272456/
22,272361,Lead QA Engineers,Florham Park NJ,NOT A FIT,SDE,QA lead - not primary skillset,https://jobs.adp.com/en/jobs/272361/
23,272012,Principal Data Governance/Analyst,Roseland NJ,NOT A FIT,ML-Engineer,Data governance/analyst - different focus,https://jobs.adp.com/en/jobs/272012/
24,272305,UX Manager Content and Conversational Design,Alpharetta GA,NOT A FIT,General,UX/Content - not engineering focused,https://jobs.adp.com/en/jobs/272305/
25,272117,Lead UX Researcher,New York NY,NOT A FIT,General,UX Research - different domain,https://jobs.adp.com/en/jobs/272117/
